episode,name,line
08x01,Unknown,"Oh, you look like you're coming from a wedding."
08x01,Unknown,Was it a nice one?
08x01,Unknown,"Uh, it's a long story, and I don't mean to be rude, but I really don't feel like talking about it."
08x01,Unknown,It all started when the bride asked to see me...
08x01,Unknown,Wow.
08x01,Unknown,"Okay, don't sugarcoat it, Mosby."
08x01,Unknown,"Just give it to me straight, okay?"
08x01,Unknown,How bad is Barney freaking out right now?
08x01,Unknown,"Oh, he's fine."
08x01,Unknown,"No, I'm serious. He's totally fine."
08x01,Unknown,I have a better tie at home!
08x01,Unknown,It's cornflower blue!
08x01,Unknown,It's cornflower blue!
08x01,Unknown,"You may rest assured, Barney Stinson is absolutely 100%"
08x01,Unknown,going through with this wedding.
08x01,Unknown,(sighs)
08x01,Unknown,Okay.
08x01,Unknown,Good news.
08x01,Unknown,"Um, just one small issue, uh..."
08x01,Unknown,I can't go through with this wedding.
08x01,Unknown,♪ How I Met Your Mother 8x01 ♪
08x01,Unknown,Farhampton
08x01,Unknown,"Original Air Date on September 24, 2012"
08x01,Unknown,"Okay, calm down, everyone feels this way on their wedding day."
08x01,Unknown,It'll pass. No.
08x01,Unknown,It's more than that.
08x01,Unknown,I'm having a serious crisis.
08x01,Unknown,And I wonder if it would be hard to climb out that window.
08x01,Unknown,"Uh, climbing out's easy."
08x01,Unknown,Climbing in's the real challenge.
08x01,Unknown,"Oh, right."
08x01,Unknown,"It's the same window, isn't it?"
08x01,Unknown,Yeah.
08x01,Unknown,Narrator
08x01,Unknown,That story transpired in May of 2012.
08x01,Unknown,"As you may recall, Lily and Marshall were gloriously happy having just welcomed your cousin Marvin."
08x01,Unknown,While Barney and Quinn were gloriously happy having just gotten engaged.
08x01,Unknown,"And Robin, well..."
08x01,Unknown,"Ah, got it!"
08x01,Unknown,"Man, that sum'b*tch had been in there since breakfast!"
08x01,Unknown,I think there's some in the fridge.
08x01,Unknown,We'll get it.
08x01,Unknown,"We're totally not gonna go have sex in the kitchen, if that's what you're thinking."
08x01,Unknown,"Aw, we're not?"
08x01,Unknown,"No, no, we are. I already took off your bra."
08x01,Unknown,Oh!
08x01,Unknown,"Hey, are you guys sure you can handle champagne?"
08x01,Unknown,You haven't slept in like a week.
08x01,Unknown,We should just call it a night.
08x01,Unknown,"Oh, I see what this is about."
08x01,Unknown,You feel weird because Barney's engaged.
08x01,Unknown,What?!
08x01,Unknown,No. Of course not.
08x01,Unknown,And I will tell you why it's not weird.
08x01,Unknown,What's not weird?
08x01,Unknown,The fact that Barney's engaged.
08x01,Unknown,Barney's engaged?!
08x01,Unknown,"Heck, this calls for some champagne."
08x01,Unknown,I think there's some in the fridge.
08x01,"Oh, my God, why don't you both just admit it",You're deliriously exhausted.
08x01,Unknown,Both
08x01,,We're fine!
08x01,Unknown,Really? We're not gonna be the kind of people who have a baby and become total zombies.
08x01,Unknown,Marshall
08x01,,"Yes, Robin."
08x01,Unknown,We're not gonna be the kind of people that have a zombie and become total babies.
08x01,Unknown,"Okay, well, what the I was saying is..."
08x01,Unknown,"(slow, garbled speech)"
08x01,Unknown,Do you understand?
08x01,Unknown,"Yes! God, yes!"
08x01,Unknown,"You are preaching to the choir, sister."
08x01,Unknown,Whew!
08x01,Unknown,Hey. So...
08x01,Unknown,"I am thinking about my bridal party and, uh, I don't have a lot of girlfriends."
