episode,name,line
07x01,Ted (2030),"Kids, if there’s one big theme to this story, and I swear, we’re totally, almost, not really all that close to the end… it’s timing. Timing is everything. For example, I never would’ve met your mother if it weren't for a wedding. The last wedding I ever thought I'd be at."
07x01,Unknown,Ted enters a room where Barney is looking at himself in the mirror.
07x01,Barney,What do you think of this tie?
07x01,Ted,"Oh, thank God. Barney Stinson needs you right before his wedding, you assume there's at least one dead hooker in the closet, right?"
07x01,Barney,Is this one better?
07x01,Ted,"Look, the tie is great, and, you know, it's perfectly normal to have some pre-wedding jitters."
07x01,Barney,"I'm not having jitters. It just occurs to me that once I put this tie on, I can never take it off. I have to wear this tie forever and ever. And sure, this tie's skinny now, but what happens if it gets fat and starts bossing me around? Did I make a mistake? Would I have been happier with the other tie? Ted, can I tell you a big secret?"
07x01,Ted,"Yeah, of course."
07x01,Barney,I'm not really talking about the tie.
07x01,Ted,"No, I got that, Barney."
07x01,Barney,I wonder if this whole thing's a disaster. What if this is the worst wedding ever?
07x01,Ted,Not possible. We've already been to the worst wedding ever.
07x01,Barney,Punchy's wedding.
07x01,Ted,Marshall really took a two-flusher on that one.
07x01,Ted (2030),The story of how Uncle Marshall ruined my friend Punchy’s wedding starts in September 2011.
07x01,Unknown,September 2011...
07x01,Ted (2030),Punchy had asked me to be his best man.
07x01,Unknown,"Barney, Robin, Marshall and Lily join Ted at McLaren's."
07x01,Everyone,Hey!
07x01,Ted,"Hey. Guys, before we go, would you mind reading my wedding toast?"
07x01,Everyone,"Oh, yeah, no problem. Sure."
07x01,Barney,If we have to.
07x01,Ted,All right.
07x01,Unknown,Ted pulls out a thick binder.
07x01,Barney,Whoa.
07x01,Ted,There’s a few different versions.
07x01,Robin,"Ted, why are you working so hard on this toast? Punchy belched his proposal through a karaoke mic at a bowling alley."
07x01,Ted,"Okay, look, I've never told you guys this, but over the years, a few of my old high school buddies have asked me to give wedding toasts, and they haven't gone great."
07x01,Unknown,Flashback
07x01,Unknown,In 2008...
07x01,Ted,Somehow those weddings all fell smack-dab in the worst moments of my life.
07x01,Ted’s toast 2008,Joel and Mora's love is a beautiful thing. I thought I had that... till my fiancée left me
07x01,Unknown,"at the altar last week. I was asked not to talk about this, so I won't. I sit outside her house at night sometimes. She got a haircut."
07x01,Ted’s toast 2009,"After I lost my job last week, uh, I was asked not to give this toast..."
07x01,Unknown,"One of the guys at the table tries to take away Ted’s mic, but Ted refuses to give it to him."
07x01,Ted’s toast continues,"No, no, no! The happy couple needs to hear this. Things end. But from the ashes of your statistically probable divorce, hope can rise anew. (sniffles) That is why I'm starting my own architecture firm--Mosbius Designs."
07x01,Unknown,Three months later…
07x01,Ted,"Mosbius Designs has failed. But Alex and Jessica's love reminds us that...That… (sobbing) Oh, God!"
07x01,Punchy,Classic Schmosby.
07x01,Unknown,End flashback
07x01,Robin,Whoa. Punchy posted the low points of your life online?
07x01,Ted,"Oh, not just that."
07x01,Unknown,Classic Shmosby Remix starts playing.
07x01,Unknown,♪ Mosbius Designs has failed ♪
07x01,Unknown,♪ But Alex and Jessica's love
07x01,Unknown,reminds us that... ♪
07x01,Unknown,♪ Tha-tha-tha-tha-tha... ♪
07x01,Unknown,"Oh, God!"
07x01,Ted,So now I seem like a total train wreck to all my old high school friends. And a bunch of people in Finland. The auto-tune thing got kind of big over there. That's why I have to nail this toast.
07x01,Barney,"Ted, you want to nail something at this wedding-- lose the Trapper Keeper. The only thing you need to bring to Cleveland is this."
07x01,Unknown,Barney shows everyone a magazine with Ted on the cover.
07x01,Ted (2030),That fall I became the youngest architect in the history of New York to break ground on a skyscraper. Which led to a glowing magazine feature. I planned on having it framed--Uncle Barney had different plans.
07x01,Barney,"Here's your toast -- ""Single file, ladies. No fatties"""""
07x01,Ted,That's ridiculous.
07x01,Barney,"Yeah, you're right. It’s Cleveland. ""Single file, ladies"""""
07x01,Unknown,Theme song starts.
07x01,Ted,I'm not going to Punchy's wedding to brag about a magazine...cover.
07x01,Robin,"Barney, he doesn't need dating advice from you. You never even called Nora."
07x01,Unknown,Flashback
07x01,Ted (2030),"Kids, you remember Nora. But just the other day..."
07x01,Barney,I'll call you.
07x01,Nora,"It's never too late, Barney."
07x01,Unknown,End flashback
07x01,Robin,Or did you call her? Not that I care. Did you? I don't care. Did you?
07x01,Barney,I haven't called her.
07x01,Robin,"Damn it, Barney. I was really, really, really rooting for you two. Who wants hot wings?"
07x01,Lily,"I’m in. Or maybe we should just pour hot sauce on Barney, since he's a total chicken."
07x01,Barney,"I did not chicken out. Nora is looking for something serious. I'm not. End of story. And yes, Robin, I would love some wings."
07x01,Lily,Cannibal.
07x01,Robin,"Okay, next round's on me."
07x01,Marshall and Lily,"Oh, no, we got it!!"
07x01,Ted (2030),Now Lily and Marshall had just found out they were having a baby.
07x01,Unknown,Flashback
07x01,Unknown,Lily and Marshall argue in their room.
07x01,Marshall,I can't wait to tell everyone.
07x01,Lily,"Baby, no, we can't tell anyone. Not until three months. I don't want to jinx it."
07x01,Marshall,"That's a bit superstitious, don't you think?"
07x01,Lily,"Whenever we board a flight, you lick the plane."
07x01,Marshall,Have we crashed even once?
07x01,Lily,Don't say a word until we know everything's okay. Deal?
07x01,Marshall,Deal. But everything's just going to be great. I promise.
07x01,Lily,How can you guarantee that?
07x01,Unknown,Marshall uncovers Lily’s belly and kisses it.
07x01,Marshall,Come here.
07x01,Unknown,End flashback
07x01,Marshall,I'm just so happy. I don't know how we're going to keep this secret for three months.
07x01,Lily,Relax. It will be easy.
07x01,Bartender,What'll you have?
07x01,Lily,"Four beers, plus one non-alcoholic."
07x01,Bartender,You're pregnant! Get in here!
07x01,Unknown,Bartender hugs Lily.
07x01,Ted (2030),And so we all headed to my hometown where we planned to celebrate Punchy's big day. Uncle Barney had different plans.
07x01,Barney,"Get ready, Cleveland. The last man to screw you this hard then disappear was LeBron James."
07x01,Robin,You're trying to get laid here?
07x01,Barney,What?
07x01,Robin,"God, Barney, tonight is a magical night between Ted's annoying friend and what's-her-face. Have some respect."
07x01,Barney,"This isn't just getting laid. This is market research. You see, my legendary"
07x01,Unknown,success rate of 83%...
07x01,Ted (to Robin),17%-- it's always the inverse.
07x01,Barney (continues),...doesn't happen by accident. Every single play I run on women has been
07x01,Unknown,"meticulously field-tested. By weeding out the bad plays in smaller markets like Cleveland, I know which ones will work in New York. For example, tonight marks the inaugural flight of the “escaped manslaughterer”. Are escaped manslaughterers sexy?"
07x01,Everyone,"No, no. Not even remotely."
07x01,Barney,Exactly. We'll never know unless I try it out tonight.
07x01,Punchy,Schmosby! Turd-faces! What's up?!
07x01,Unknown,He punches everyone’s arm jokingly.
07x01,Marshall,You really feel that ring now.
07x01,Kelly,So glad you all made it.
07x01,Punchy,"Open bar. Drink up, turd-faces, 'cause Kelly's dad's paying for all this, and he hates my guts."
07x01,Kelly,It's true.
07x01,Punchy,"Who's doing sh*ts? Come on, let's go."
07x01,Lily,"Oh, no, thank you."
07x01,Punchy,"What, are you pregnant or somethin’?"
07x01,Lily,"Let’s get hammered! (Turns to Marshall and whispers) You're drinking for two tonight, baby."
07x01,Marshall,(solemnly) I will do this for the child.
07x01,Kelly and Punchy,Go Browns!
07x01,Marshall,"In AFC regular season play, but if they mean the Super Bowl, go Vikings."
07x01,Lily,Yowza!
07x01,Unknown,Woman runs away screaming and Barney shows up at the bar.
07x01,Barney,"Escaped manslaughterers-- not sexy. Although in hindsight, that was kind of a flawed concept. Next up, “Patient Zero”."
07x01,Robin,"Lily, we are getting sloshed tonight."
07x01,Lily (to Marshall),"That's all you, baby."
07x01,Marshall,But that’ll be four sh*ts in with no food.
07x01,Lily,"In nine months, I'll be pushing a pumpkin-headed Eriksen baby out of my hoo-ha. I think Papa can manage a few extra cocktails."
07x01,Marshall,Well played.
07x01,Lily,Hakuna Matata!
07x01,Marshall,"I, uh, I gotta go get some air."
07x01,Ted (2030),"Kids, remember how I told you that Marshall ruined Punchy’s wedding? (Marshall stumbles close to the wedding cake) That wasn’t it."
07x01,Robin,"God, will you look at that guy. (High-pitched voice) I wish Barney were my boyfriend again. (Laughs) No, thanks."
07x01,Lily,Wait a minute. That’s your truth voice.
07x01,Robin,My what?
07x01,Lily,Whenever you're trying to pass something off as a joke but it's actually profoundly
07x01,Unknown,"true, you use that voice."
07x01,Unknown,Flashback
07x01,Unknown,Robin is watching TV with Lily.
07x01,Robin,(High-pitched voice) I wish the Spice Girls would get back together. They were awesome. (Laughs) The worst.
07x01,Unknown,"Everyone’s sitting at their regular McLaren’s table, and they all start complaining about a smell. It looks like someone had farted."
07x01,Robin,(High-pitched voice) That was me. I totally cut one. (Snorts) It was…that guy.
07x01,Unknown,They are all sitting on Ted’s couch.
07x01,Robin,Birthday present from my dad. (High-pitched voice) All I really want is for him to tell me that he loves me. (Snorts) Just kidding. This pen's enough. (High-pitched voice) It's not enough. (Chuckles) It's totally enough.
07x01,Lily,"Oh, my God. You still have feelings for Barney. Admit it, you still have feelings for Barney."
